year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2017-18,Playoffs,45,Andre Iguodala,"['GSW', '15', '401', '42', '85', '0.494', '14', '37', '0.378', '24', '34', '0.706', '11', '57', '68', '41', '21', '7', '14', '29', '122', '2.93']"
2017-18,Playoffs,46,LaMarcus Aldridge,"['SAS', '5', '176', '37', '80', '0.463', '3', '5', '0.6', '41', '42', '0.976', '13', '33', '46', '12', '3', '2', '9', '9', '118', '1.33']"
2017-18,Playoffs,46,Tristan Thompson,"['CLE', '19', '416', '49', '83', '0.59', '0', '1', '0.0', '20', '27', '0.741', '44', '68', '112', '11', '2', '8', '11', '26', '118', '1.0']"
2017-18,Playoffs,48,Aron Baynes,"['BOS', '19', '389', '45', '89', '0.506', '11', '23', '0.478', '13', '18', '0.722', '45', '73', '118', '19', '4', '11', '8', '43', '114', '2.38']"
2017-18,Playoffs,49,Jae Crowder,"['UTA', '11', '323', '35', '108', '0.324', '22', '66', '0.333', '18', '28', '0.643', '4', '52', '56', '19', '15', '2', '14', '25', '110', '1.36']"
2017-18,Playoffs,50,Gerald Green,"['HOU', '17', '272', '37', '94', '0.394', '27', '72', '0.375', '6', '7', '0.857', '6', '44', '50', '1', '4', '7', '10', '27', '107', '0.1']"
2017-18,Playoffs,51,Derrick Favors,"['UTA', '11', '286', '42', '68', '0.618', '2', '5', '0.4', '16', '33', '0.485', '20', '37', '57', '13', '8', '11', '10', '17', '102', '1.3']"
2017-18,Playoffs,51,E'Twaun Moore,"['NOP', '9', '284', '41', '88', '0.466', '9', '25', '0.36', '11', '16', '0.688', '6', '17', '23', '15', '6', '1', '11', '20', '102', '1.36']"
2017-18,Playoffs,53,CJ McCollum,"['POR', '4', '155', '40', '77', '0.519', '11', '26', '0.423', '10', '13', '0.769', '0', '8', '8', '14', '5', '1', '9', '11', '101', '1.56']"
2017-18,Playoffs,54,CJ Miles,"['TOR', '10', '227', '32', '71', '0.451', '19', '45', '0.422', '13', '16', '0.813', '6', '18', '24', '8', '7', '3', '9', '21', '96', '0.89']"
2017-18,Playoffs,54,Larry Nance Jr.,"['CLE', '20', '307', '41', '60', '0.683', '0', '1', '0.0', '14', '31', '0.452', '35', '55', '90', '18', '16', '14', '12', '35', '96', '1.5']"
2017-18,Playoffs,56,Eric Bledsoe,"['MIL', '7', '225', '37', '84', '0.44', '7', '22', '0.318', '14', '20', '0.7', '3', '22', '25', '26', '7', '6', '15', '19', '95', '1.73']"
2017-18,Playoffs,57,Ersan Ilyasova,"['PHI', '10', '233', '36', '84', '0.429', '9', '31', '0.29', '12', '21', '0.571', '26', '50', '76', '13', '7', '4', '10', '25', '93', '1.3']"
2017-18,Playoffs,57,Goran Dragic,"['MIA', '5', '156', '35', '75', '0.467', '8', '21', '0.381', '15', '22', '0.682', '3', '10', '13', '23', '5', '0', '15', '15', '93', '1.53']"
2017-18,Playoffs,57,Rajon Rondo,"['NOP', '9', '302', '38', '92', '0.413', '8', '19', '0.421', '9', '14', '0.643', '9', '59', '68', '110', '13', '2', '33', '20', '93', '3.33']"
2017-18,Playoffs,60,Rodney Hood,"['CLE', '17', '260', '39', '92', '0.424', '4', '24', '0.167', '9', '12', '0.75', '7', '24', '31', '18', '5', '4', '13', '30', '91', '1.39']"
2017-18,Playoffs,61,Jordan Clarkson,"['CLE', '19', '286', '37', '123', '0.301', '11', '46', '0.239', '5', '6', '0.833', '9', '23', '32', '13', '8', '3', '13', '21', '90', '1.0']"
2017-18,Playoffs,62,Bojan Bogdanovic,"['IND', '7', '238', '32', '81', '0.395', '17', '45', '0.378', '6', '10', '0.6', '1', '23', '24', '13', '6', '0', '13', '23', '87', '1.0']"
2017-18,Playoffs,62,Domantas Sabonis,"['IND', '7', '166', '36', '62', '0.581', '1', '7', '0.143', '14', '18', '0.778', '14', '18', '32', '5', '1', '2', '7', '22', '87', '0.71']"
2017-18,Playoffs,62,Myles Turner,"['IND', '7', '196', '33', '54', '0.611', '6', '13', '0.462', '15', '19', '0.789', '6', '30', '36', '4', '2', '4', '11', '25', '87', '0.36']"
2017-18,Playoffs,62,Serge Ibaka,"['TOR', '10', '260', '30', '72', '0.417', '9', '24', '0.375', '18', '22', '0.818', '13', '46', '59', '11', '1', '13', '16', '21', '87', '0.69']"
2017-18,Playoffs,66,Delon Wright,"['TOR', '10', '215', '31', '68', '0.456', '9', '21', '0.429', '15', '16', '0.938', '3', '19', '22', '23', '15', '9', '9', '10', '86', '2.56']"
2017-18,Playoffs,66,Kevon Looney,"['GSW', '21', '387', '39', '72', '0.542', '0', '2', '0.0', '8', '21', '0.381', '42', '47', '89', '19', '14', '8', '8', '50', '86', '2.38']"
2017-18,Playoffs,68,JaVale McGee,"['GSW', '13', '158', '39', '58', '0.672', '0', '1', '0.0', '6', '9', '0.667', '16', '26', '42', '4', '3', '11', '5', '20', '84', '0.8']"
2017-18,Playoffs,68,Ricky Rubio,"['UTA', '6', '181', '28', '79', '0.354', '10', '32', '0.313', '18', '23', '0.783', '5', '39', '44', '42', '8', '3', '18', '13', '84', '2.33']"
2017-18,Playoffs,70,Dwyane Wade,"['MIA', '5', '127', '31', '70', '0.443', '0', '4', '0.0', '21', '26', '0.808', '3', '18', '21', '18', '7', '1', '11', '11', '83', '1.64']"
2017-18,Playoffs,71,Alec Burks,"['UTA', '9', '120', '30', '64', '0.469', '9', '20', '0.45', '13', '15', '0.867', '2', '22', '24', '17', '4', '1', '8', '9', '82', '2.13']"
2017-18,Playoffs,72,Quinn Cook,"['GSW', '17', '175', '30', '67', '0.448', '7', '31', '0.226', '14', '17', '0.824', '2', '21', '23', '11', '4', '2', '5', '13', '81', '2.2']"
2017-18,Playoffs,72,Robert Covington,"['PHI', '10', '281', '27', '83', '0.325', '15', '48', '0.313', '12', '16', '0.75', '12', '41', '53', '25', '11', '9', '11', '30', '81', '2.27']"
2017-18,Playoffs,74,Andrew Wiggins,"['MIN', '5', '164', '30', '68', '0.441', '7', '21', '0.333', '12', '20', '0.6', '5', '21', '26', '10', '2', '2', '9', '14', '79', '1.11']"
2017-18,Playoffs,74,Darren Collison,"['IND', '7', '214', '31', '68', '0.456', '8', '23', '0.348', '9', '12', '0.75', '1', '20', '21', '33', '7', '0', '9', '7', '79', '3.67']"
2017-18,Playoffs,74,Jimmy Butler,"['MIN', '5', '170', '28', '63', '0.444', '8', '17', '0.471', '15', '18', '0.833', '3', '27', '30', '20', '4', '1', '5', '9', '79', '4.0']"
2017-18,Playoffs,74,OG Anunoby,"['TOR', '10', '238', '29', '52', '0.558', '13', '29', '0.448', '8', '11', '0.727', '9', '12', '21', '7', '6', '4', '6', '23', '79', '1.17']"
2017-18,Playoffs,74,Thaddeus Young,"['IND', '7', '237', '36', '60', '0.6', '2', '7', '0.286', '5', '13', '0.385', '22', '32', '54', '10', '12', '6', '7', '22', '79', '1.43']"
2017-18,Playoffs,79,Royce O'Neale,"['UTA', '11', '259', '28', '56', '0.5', '10', '28', '0.357', '12', '19', '0.632', '3', '35', '38', '15', '10', '4', '16', '30', '78', '0.94']"
2017-18,Playoffs,80,Karl-Anthony Towns,"['MIN', '5', '170', '28', '60', '0.467', '3', '11', '0.273', '17', '23', '0.739', '15', '52', '67', '11', '2', '5', '12', '14', '76', '0.92']"
2017-18,Playoffs,81,Damian Lillard,"['POR', '4', '162', '25', '71', '0.352', '9', '30', '0.3', '15', '17', '0.882', '3', '15', '18', '19', '5', '0', '16', '8', '74', '1.19']"
2017-18,Playoffs,82,Lance Stephenson,"['IND', '7', '149', '30', '65', '0.462', '8', '26', '0.308', '5', '9', '0.556', '3', '16', '19', '20', '2', '1', '9', '20', '73', '2.22']"
2017-18,Playoffs,83,Carmelo Anthony,"['OKC', '6', '194', '27', '72', '0.375', '6', '28', '0.214', '11', '15', '0.733', '3', '31', '34', '2', '10', '4', '6', '14', '71', '0.33']"
2017-18,Playoffs,83,Derrick Rose,"['MIN', '5', '119', '29', '57', '0.509', '7', '10', '0.7', '6', '7', '0.857', '1', '8', '9', '13', '2', '0', '8', '9', '71', '1.63']"
2017-18,Playoffs,85,Ian Clark,"['NOP', '9', '190', '28', '66', '0.424', '10', '28', '0.357', '4', '4', '1.0', '2', '8', '10', '11', '8', '2', '9', '20', '70', '1.22']"
2017-18,Playoffs,85,Jabari Parker,"['MIL', '7', '167', '28', '62', '0.452', '6', '19', '0.316', '8', '13', '0.615', '8', '35', '43', '10', '7', '4', '6', '15', '70', '1.67']"
2017-18,Playoffs,87,Al-Farouq Aminu,"['POR', '4', '131', '27', '52', '0.519', '13', '30', '0.433', '2', '2', '1.0', '12', '24', '36', '5', '4', '2', '6', '8', '69', '0.83']"
2017-18,Playoffs,88,Patty Mills,"['SAS', '5', '165', '25', '57', '0.439', '13', '35', '0.371', '4', '5', '0.8', '2', '8', '10', '13', '3', '1', '9', '15', '67', '1.44']"
2017-18,Playoffs,89,Pascal Siakam,"['TOR', '10', '179', '25', '41', '0.61', '3', '4', '0.75', '13', '20', '0.65', '9', '27', '36', '8', '1', '6', '7', '27', '66', '1.14']"
2017-18,Playoffs,90,Jeff Teague,"['MIN', '5', '153', '23', '51', '0.451', '7', '18', '0.389', '12', '17', '0.706', '3', '15', '18', '29', '3', '2', '14', '19', '65', '2.07']"
2017-18,Playoffs,90,Mike Scott,"['WAS', '6', '126', '26', '41', '0.634', '7', '11', '0.636', '6', '6', '1.0', '6', '15', '21', '4', '2', '1', '5', '10', '65', '0.8']"
2017-18,Playoffs,92,Kelly Olynyk,"['MIA', '5', '146', '21', '44', '0.477', '8', '19', '0.421', '14', '20', '0.7', '7', '16', '23', '19', '7', '6', '8', '19', '64', '2.38']"
2017-18,Playoffs,93,Steven Adams,"['OKC', '6', '200', '27', '46', '0.587', '0', '0', '0.0', '9', '13', '0.692', '19', '26', '45', '9', '4', '4', '4', '15', '63', '2.25']"
2017-18,Playoffs,94,James Johnson,"['MIA', '5', '161', '23', '42', '0.548', '7', '13', '0.538', '9', '14', '0.643', '3', '27', '30', '24', '6', '6', '10', '17', '62', '2.4']"
2017-18,Playoffs,95,Malcolm Brogdon,"['MIL', '7', '186', '24', '55', '0.436', '5', '19', '0.263', '8', '10', '0.8', '3', '21', '24', '17', '1', '0', '12', '14', '61', '1.42']"
2017-18,Playoffs,95,Rudy Gay,"['SAS', '5', '160', '26', '65', '0.4', '4', '18', '0.222', '5', '9', '0.556', '9', '19', '28', '11', '8', '1', '6', '16', '61', '1.83']"
2017-18,Playoffs,97,David West,"['GSW', '18', '175', '27', '45', '0.6', '1', '2', '0.5', '4', '4', '1.0', '11', '26', '37', '32', '6', '10', '10', '23', '59', '3.2']"
2017-18,Playoffs,97,Jamal Crawford,"['MIN', '5', '123', '21', '47', '0.447', '7', '17', '0.412', '10', '13', '0.769', '1', '12', '13', '12', '5', '0', '5', '6', '59', '2.4']"
2017-18,Playoffs,97,Markieff Morris,"['WAS', '6', '181', '24', '49', '0.49', '2', '12', '0.167', '9', '10', '0.9', '14', '31', '45', '10', '4', '5', '6', '22', '59', '1.67']"
2017-18,Playoffs,100,Kelly Oubre Jr.,"['WAS', '6', '148', '18', '48', '0.375', '4', '19', '0.211', '16', '18', '0.889', '1', '22', '23', '4', '6', '3', '5', '16', '56', '0.8']"
2017-18,Playoffs,101,T.J. McConnell,"['PHI', '10', '155', '25', '36', '0.694', '2', '3', '0.667', '3', '5', '0.6', '6', '20', '26', '23', '6', '0', '6', '13', '55', '3.83']"
2017-18,Playoffs,102,Greg Monroe,"['BOS', '11', '105', '19', '38', '0.5', '0', '0', '0.0', '15', '22', '0.682', '14', '21', '35', '5', '2', '2', '14', '9', '53', '0.36']"
2017-18,Playoffs,103,Marcin Gortat,"['WAS', '6', '160', '24', '43', '0.558', '0', '0', '0.0', '4', '7', '0.571', '13', '25', '38', '6', '0', '2', '6', '15', '52', '1.0']"
2017-18,Playoffs,103,Nick Young,"['GSW', '20', '206', '16', '53', '0.302', '14', '47', '0.298', '6', '8', '0.75', '1', '11', '12', '4', '1', '0', '2', '18', '52', '2.0']"
2017-18,Playoffs,105,Dante Exum,"['UTA', '10', '114', '20', '41', '0.488', '2', '7', '0.286', '9', '12', '0.75', '4', '10', '14', '10', '1', '1', '15', '15', '51', '0.67']"
2017-18,Playoffs,106,Otto Porter Jr.,"['WAS', '5', '158', '20', '41', '0.488', '5', '12', '0.417', '5', '8', '0.625', '1', '24', '25', '8', '6', '5', '3', '6', '50', '2.67']"
2017-18,Playoffs,107,Jakob Poeltl,"['TOR', '9', '140', '17', '31', '0.548', '0', '1', '0.0', '15', '19', '0.789', '15', '21', '36', '6', '3', '4', '8', '25', '49', '0.75']"
2017-18,Playoffs,107,Justise Winslow,"['MIA', '5', '125', '15', '42', '0.357', '7', '19', '0.368', '12', '17', '0.706', '7', '26', '33', '13', '4', '4', '8', '17', '49', '1.63']"
2017-18,Playoffs,109,Jusuf Nurkic,"['POR', '4', '94', '19', '39', '0.487', '0', '0', '0.0', '9', '11', '0.818', '12', '20', '32', '4', '6', '5', '3', '14', '47', '1.33']"
2017-18,Playoffs,110,Manu Ginobili,"['SAS', '5', '107', '15', '37', '0.405', '6', '18', '0.333', '9', '11', '0.818', '1', '14', '15', '16', '7', '1', '7', '13', '45', '2.29']"
2017-18,Playoffs,111,Darius Miller,"['NOP', '9', '162', '14', '34', '0.412', '9', '24', '0.375', '6', '6', '1.0', '2', '18', '20', '11', '5', '0', '6', '10', '43', '1.83']"
2017-18,Playoffs,111,Jerami Grant,"['OKC', '6', '133', '18', '35', '0.514', '2', '8', '0.25', '5', '11', '0.455', '8', '12', '20', '6', '4', '3', '6', '15', '43', '1.0']"
2017-18,Playoffs,113,Josh Richardson,"['MIA', '5', '130', '15', '40', '0.375', '6', '19', '0.316', '6', '7', '0.857', '4', '11', '15', '14', '11', '5', '5', '17', '42', '2.8']"
2017-18,Playoffs,114,Fred VanVleet,"['TOR', '6', '114', '13', '39', '0.333', '8', '28', '0.286', '7', '8', '0.875', '0', '10', '10', '13', '0', '0', '4', '8', '41', '3.25']"
2017-18,Playoffs,114,Jordan Bell,"['GSW', '17', '173', '17', '32', '0.531', '0', '1', '0.0', '7', '14', '0.5', '15', '32', '47', '15', '6', '9', '6', '18', '41', '2.5']"
2017-18,Playoffs,114,Shane Larkin,"['BOS', '11', '154', '16', '35', '0.457', '4', '13', '0.308', '5', '5', '1.0', '1', '10', '11', '20', '5', '0', '6', '15', '41', '3.33']"
2017-18,Playoffs,117,Tyler Johnson,"['MIA', '5', '81', '14', '26', '0.538', '6', '10', '0.6', '6', '7', '0.857', '1', '7', '8', '4', '2', '0', '2', '14', '40', '2.0']"
2017-18,Playoffs,118,Dejounte Murray,"['SAS', '5', '96', '14', '31', '0.452', '4', '6', '0.667', '7', '9', '0.778', '4', '17', '21', '9', '5', '2', '5', '11', '39', '1.8']"
2017-18,Playoffs,118,Wayne Ellington,"['MIA', '5', '101', '12', '35', '0.343', '12', '30', '0.4', '3', '3', '1.0', '1', '7', '8', '3', '2', '2', '3', '9', '39', '1.0']"
2017-18,Playoffs,120,Corey Brewer,"['OKC', '6', '151', '13', '25', '0.52', '5', '11', '0.455', '6', '6', '1.0', '4', '9', '13', '5', '7', '5', '2', '17', '37', '2.5']"
2017-18,Playoffs,121,Cory Joseph,"['IND', '7', '143', '12', '33', '0.364', '3', '11', '0.273', '6', '6', '1.0', '2', '15', '17', '21', '9', '2', '4', '10', '33', '5.25']"
2017-18,Playoffs,121,Solomon Hill,"['NOP', '9', '114', '9', '25', '0.36', '6', '16', '0.375', '9', '10', '0.9', '6', '11', '17', '7', '1', '1', '6', '17', '33', '1.17']"
2017-18,Playoffs,121,Thon Maker,"['MIL', '6', '130', '11', '28', '0.393', '6', '20', '0.3', '5', '7', '0.714', '6', '17', '23', '5', '2', '11', '4', '17', '33', '1.25']"
2017-18,Playoffs,121,Tony Parker,"['SAS', '5', '67', '14', '37', '0.378', '0', '5', '0.0', '5', '7', '0.714', '0', '4', '4', '6', '2', '0', '4', '2', '33', '1.5']"
2017-18,Playoffs,125,Semi Ojeleye,"['BOS', '17', '230', '10', '33', '0.303', '6', '22', '0.273', '6', '7', '0.857', '4', '24', '28', '2', '3', '0', '2', '21', '32', '1.0']"
2017-18,Playoffs,126,Nene,"['HOU', '11', '107', '12', '20', '0.6', '0', '0', '0.0', '7', '11', '0.636', '6', '22', '28', '5', '2', '5', '8', '18', '31', '0.63']"
2017-18,Playoffs,126,Raymond Felton,"['OKC', '6', '79', '12', '31', '0.387', '7', '14', '0.5', '0', '2', '0.0', '2', '11', '13', '9', '4', '2', '5', '7', '31', '1.8']"
2017-18,Playoffs,126,Taj Gibson,"['MIN', '5', '123', '14', '22', '0.636', '0', '0', '0.0', '3', '3', '1.0', '7', '13', '20', '2', '1', '2', '4', '8', '31', '0.5']"
2017-18,Playoffs,129,Ian Mahinmi,"['WAS', '6', '52', '10', '14', '0.714', '0', '0', '0.0', '10', '11', '0.909', '4', '7', '11', '1', '4', '5', '1', '10', '30', '1.0']"
2017-18,Playoffs,129,Pau Gasol,"['SAS', '5', '90', '10', '20', '0.5', '1', '3', '0.333', '9', '10', '0.9', '2', '22', '24', '14', '0', '1', '6', '5', '30', '2.33']"
2017-18,Playoffs,131,Ty Lawson,"['WAS', '5', '96', '9', '26', '0.346', '5', '8', '0.625', '6', '6', '1.0', '2', '11', '13', '15', '3', '0', '3', '6', '29', '5.0']"
2017-18,Playoffs,132,Evan Turner,"['POR', '3', '87', '12', '33', '0.364', '2', '7', '0.286', '2', '2', '1.0', '5', '7', '12', '10', '3', '1', '6', '8', '28', '1.67']"
2017-18,Playoffs,132,Zach Collins,"['POR', '4', '70', '11', '30', '0.367', '3', '14', '0.214', '3', '4', '0.75', '3', '9', '12', '6', '3', '2', '2', '10', '28', '3.0']"
2017-18,Playoffs,134,Kyle Anderson,"['SAS', '5', '73', '12', '20', '0.6', '0', '4', '0.0', '3', '4', '0.75', '5', '8', '13', '3', '6', '1', '3', '10', '27', '1.0']"
2017-18,Playoffs,135,Amir Johnson,"['PHI', '8', '94', '11', '21', '0.524', '0', '0', '0.0', '4', '5', '0.8', '14', '9', '23', '9', '2', '1', '3', '10', '26', '3.0']"
2017-18,Playoffs,135,Hassan Whiteside,"['MIA', '5', '77', '9', '20', '0.45', '0', '0', '0.0', '8', '13', '0.615', '10', '20', '30', '1', '0', '6', '12', '16', '26', '0.08']"
2017-18,Playoffs,137,Luc Mbah a Moute,"['HOU', '9', '149', '9', '36', '0.25', '3', '15', '0.2', '4', '7', '0.571', '3', '19', '22', '3', '6', '4', '6', '8', '25', '0.5']"
2017-18,Playoffs,137,Shabazz Muhammad,"['MIL', '4', '29', '9', '20', '0.45', '4', '5', '0.8', '3', '5', '0.6', '0', '4', '4', '0', '2', '1', '2', '2', '25', '0.0']"
2017-18,Playoffs,139,Alex Abrines,"['OKC', '6', '110', '8', '20', '0.4', '6', '13', '0.462', '2', '2', '1.0', '3', '13', '16', '2', '5', '2', '1', '11', '24', '2.0']"
2017-18,Playoffs,139,Jose Calderon,"['CLE', '13', '104', '9', '26', '0.346', '4', '18', '0.222', '2', '2', '1.0', '2', '9', '11', '9', '5', '0', '5', '15', '24', '1.8']"
2017-18,Playoffs,141,Nemanja Bjelica,"['MIN', '5', '47', '7', '16', '0.438', '4', '7', '0.571', '5', '7', '0.714', '4', '11', '15', '3', '3', '0', '1', '6', '23', '3.0']"
2017-18,Playoffs,142,Danny Green,"['SAS', '5', '103', '8', '30', '0.267', '5', '20', '0.25', '0', '0', '0.0', '4', '7', '11', '1', '1', '4', '2', '8', '21', '0.5']"
2017-18,Playoffs,142,Raul Neto,"['UTA', '8', '72', '7', '23', '0.304', '2', '7', '0.286', '5', '5', '1.0', '2', '8', '10', '10', '2', '0', '4', '7', '21', '2.5']"
2017-18,Playoffs,144,John Henson,"['MIL', '2', '74', '9', '13', '0.692', '0', '0', '0.0', '1', '2', '0.5', '4', '8', '12', '5', '0', '7', '4', '4', '19', '1.25']"
2017-18,Playoffs,144,Jonas Jerebko,"['UTA', '10', '79', '8', '19', '0.421', '1', '6', '0.167', '2', '2', '1.0', '4', '12', '16', '3', '3', '0', '1', '9', '19', '3.0']"
2017-18,Playoffs,144,Jordan Crawford,"['NOP', '2', '15', '8', '13', '0.615', '3', '8', '0.375', '0', '0', '0.0', '0', '4', '4', '1', '1', '0', '3', '1', '19', '0.33']"
2017-18,Playoffs,144,Ryan Anderson,"['HOU', '11', '95', '7', '20', '0.35', '5', '15', '0.333', '0', '0', '0.0', '4', '9', '13', '6', '3', '1', '3', '10', '19', '2.0']"
2017-18,Playoffs,144,Tony Snell,"['MIL', '7', '134', '7', '24', '0.292', '5', '21', '0.238', '0', '0', '0.0', '1', '12', '13', '4', '3', '4', '3', '10', '19', '1.33']"
2017-18,Playoffs,149,Trevor Booker,"['IND', '7', '64', '6', '10', '0.6', '0', '1', '0.0', '6', '7', '0.857', '5', '13', '18', '0', '1', '1', '1', '12', '18', '0.0']"
2017-18,Playoffs,150,Bam Adebayo,"['MIA', '5', '77', '7', '15', '0.467', '0', '1', '0.0', '3', '14', '0.214', '9', '11', '20', '0', '0', '2', '2', '8', '17', '0.0']"
2017-18,Playoffs,150,Bryn Forbes,"['SAS', '4', '54', '5', '17', '0.294', '2', '9', '0.222', '5', '7', '0.714', '1', '2', '3', '2', '0', '0', '0', '3', '17', '0.0']"
2017-18,Playoffs,150,Dāvis Bertāns,"['SAS', '5', '82', '3', '18', '0.167', '3', '16', '0.188', '8', '11', '0.727', '1', '10', '11', '6', '2', '0', '1', '10', '17', '6.0']"
2017-18,Playoffs,150,Gorgui Dieng,"['MIN', '5', '70', '6', '18', '0.333', '2', '5', '0.4', '3', '4', '0.75', '3', '15', '18', '4', '2', '4', '1', '6', '17', '4.0']"
2017-18,Playoffs,150,Zaza Pachulia,"['GSW', '7', '26', '4', '7', '0.571', '0', '0', '0.0', '9', '12', '0.75', '6', '6', '12', '1', '3', '1', '3', '1', '17', '0.33']"
2017-18,Playoffs,155,Maurice Harkless,"['POR', '2', '53', '7', '13', '0.538', '2', '6', '0.333', '0', '0', '0.0', '3', '5', '8', '4', '0', '1', '1', '4', '16', '4.0']"
2017-18,Playoffs,155,Pat Connaughton,"['POR', '4', '59', '6', '15', '0.4', '2', '10', '0.2', '2', '2', '1.0', '2', '2', '4', '6', '1', '1', '1', '9', '16', '6.0']"
2017-18,Playoffs,157,Cedi Osman,"['CLE', '14', '62', '6', '18', '0.333', '1', '7', '0.143', '1', '4', '0.25', '1', '6', '7', '3', '3', '0', '0', '5', '14', '0.0']"
2017-18,Playoffs,158,Ante Zizic,"['CLE', '8', '23', '5', '10', '0.5', '0', '0', '0.0', '3', '6', '0.5', '1', '5', '6', '1', '0', '1', '2', '2', '13', '0.5']"
2017-18,Playoffs,159,Abdel Nader,"['BOS', '11', '33', '5', '15', '0.333', '0', '4', '0.0', '2', '4', '0.5', '1', '2', '3', '3', '1', '1', '2', '2', '12', '1.5']"
2017-18,Playoffs,159,Joe Johnson,"['HOU', '8', '54', '6', '17', '0.353', '0', '3', '0.0', '0', '0', '0.0', '0', '10', '10', '3', '0', '1', '3', '4', '12', '1.0']"
2017-18,Playoffs,159,Matthew Dellavedova,"['MIL', '6', '78', '4', '12', '0.333', '2', '9', '0.222', '2', '2', '1.0', '1', '4', '5', '16', '2', '0', '6', '6', '12', '2.67']"
2017-18,Playoffs,159,Norman Powell,"['TOR', '6', '40', '4', '14', '0.286', '1', '7', '0.143', '3', '4', '0.75', '0', '2', '2', '2', '0', '0', '1', '4', '12', '2.0']"
2017-18,Playoffs,163,Ed Davis,"['POR', '4', '71', '5', '10', '0.5', '0', '0', '0.0', '1', '4', '0.25', '5', '27', '32', '0', '0', '1', '4', '7', '11', '0.0']"
2017-18,Playoffs,163,Shabazz Napier,"['POR', '2', '35', '5', '11', '0.455', '0', '4', '0.0', '1', '2', '0.5', '0', '2', '2', '3', '3', '0', '6', '1', '11', '0.5']"
2017-18,Playoffs,163,Tyler Zeller,"['MIL', '7', '66', '4', '5', '0.8', '0', '0', '0.0', '3', '4', '0.75', '2', '12', '14', '3', '4', '3', '1', '11', '11', '3.0']"
2017-18,Playoffs,166,Cheick Diallo,"['NOP', '7', '48', '5', '12', '0.417', '0', '0', '0.0', '0', '0', '0.0', '4', '5', '9', '0', '1', '1', '1', '9', '10', '0.0']"
2017-18,Playoffs,167,Lorenzo Brown,"['TOR', '4', '29', '3', '10', '0.3', '2', '5', '0.4', '1', '2', '0.5', '1', '5', '6', '2', '0', '1', '1', '2', '9', '2.0']"
2017-18,Playoffs,168,Justin Anderson,"['PHI', '7', '33', '3', '8', '0.375', '2', '7', '0.286', '0', '0', '0.0', '1', '8', '9', '0', '1', '0', '2', '8', '8', '0.0']"
2017-18,Playoffs,168,Meyers Leonard,"['POR', '2', '8', '4', '4', '1.0', '0', '0', '0.0', '0', '0', '0.0', '0', '4', '4', '0', '0', '0', '0', '0', '8', '0.0']"
2017-18,Playoffs,168,Patrick Patterson,"['OKC', '6', '58', '3', '6', '0.5', '2', '4', '0.5', '0', '0', '0.0', '1', '10', '11', '3', '1', '0', '3', '8', '8', '1.0']"
2017-18,Playoffs,171,Derrick White,"['SAS', '3', '18', '3', '6', '0.5', '1', '2', '0.5', '0', '0', '0.0', '0', '0', '0', '1', '1', '2', '0', '0', '7', '0.0']"
2017-18,Playoffs,171,Sterling Brown,"['MIL', '3', '13', '3', '5', '0.6', '1', '3', '0.333', '0', '0', '0.0', '1', '1', '2', '0', '1', '0', '0', '2', '7', '0.0']"
2017-18,Playoffs,171,Tomas Satoransky,"['WAS', '6', '60', '2', '13', '0.154', '0', '3', '0.0', '3', '4', '0.75', '5', '4', '9', '3', '0', '0', '3', '4', '7', '1.0']"
2017-18,Playoffs,174,Jake Layman,"['POR', '1', '8', '3', '3', '1.0', '0', '0', '0.0', '0', '0', '0.0', '0', '1', '1', '1', '2', '0', '0', '0', '6', '0.0']"
2017-18,Playoffs,174,Jason Terry,"['MIL', '3', '44', '2', '5', '0.4', '2', '5', '0.4', '0', '0', '0.0', '1', '1', '2', '2', '1', '0', '1', '2', '6', '2.0']"
2017-18,Playoffs,176,Aaron Jackson,"['HOU', '7', '17', '2', '4', '0.5', '0', '2', '0.0', '1', '2', '0.5', '2', '2', '4', '2', '0', '0', '2', '2', '5', '1.0']"
2017-18,Playoffs,176,Markelle Fultz,"['PHI', '3', '23', '1', '7', '0.143', '0', '0', '0.0', '3', '4', '0.75', '0', '3', '3', '5', '2', '0', '1', '4', '5', '5.0']"
2017-18,Playoffs,178,Aaron Brooks,"['MIN', '2', '3', '2', '3', '0.667', '0', '1', '0.0', '0', '2', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0.0']"
2017-18,Playoffs,178,Damian Jones,"['GSW', '4', '11', '1', '2', '0.5', '0', '0', '0.0', '2', '3', '0.667', '1', '2', '3', '0', '0', '0', '3', '4', '4', '0.0']"
2017-18,Playoffs,178,Guerschon Yabusele,"['BOS', '12', '48', '1', '9', '0.111', '0', '6', '0.0', '2', '5', '0.4', '3', '8', '11', '3', '2', '0', '0', '9', '4', '0.0']"
2017-18,Playoffs,178,Patrick McCaw,"['GSW', '6', '16', '1', '2', '0.5', '0', '1', '0.0', '2', '2', '1.0', '1', '2', '3', '0', '2', '0', '0', '1', '4', '0.0']"
