year,Season_type,RANK,PLAYER,"['TEAM', 'GP', 'MIN', 'FGM', 'FGA', 'FG_PCT', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'REB', 'AST', 'STL', 'BLK', 'TOV', 'PF', 'PTS', 'AST_TOV']"
2012-13,Playoffs,64,Matt Bonner,"['SAS', '20', '267', '28', '59', '0.475', '15', '32', '0.469', '10', '12', '0.833', '9', '30', '39', '6', '5', '5', '2', '35', '81', '3.0']"
2012-13,Playoffs,65,Jeff Teague,"['ATL', '6', '213', '27', '81', '0.333', '3', '10', '0.3', '23', '28', '0.821', '3', '14', '17', '30', '9', '2', '14', '17', '80', '2.14']"
2012-13,Playoffs,66,Blake Griffin,"['LAC', '6', '158', '29', '64', '0.453', '0', '0', '0.0', '21', '26', '0.808', '8', '25', '33', '15', '0', '5', '13', '24', '79', '1.15']"
2012-13,Playoffs,67,Taj Gibson,"['CHI', '12', '206', '31', '66', '0.47', '0', '2', '0.0', '16', '22', '0.727', '15', '21', '36', '4', '4', '6', '9', '37', '78', '0.44']"
2012-13,Playoffs,67,Tyler Hansbrough,"['IND', '19', '241', '26', '62', '0.419', '0', '0', '0.0', '26', '44', '0.591', '36', '25', '61', '5', '6', '0', '15', '41', '78', '0.33']"
2012-13,Playoffs,69,Kevin Garnett,"['BOS', '6', '212', '30', '60', '0.5', '0', '2', '0.0', '16', '17', '0.941', '9', '73', '82', '21', '5', '6', '19', '23', '76', '1.1']"
2012-13,Playoffs,70,Ömer Aşik,"['HOU', '6', '208', '22', '39', '0.564', '0', '0', '0.0', '30', '47', '0.638', '21', '46', '67', '3', '3', '10', '12', '22', '74', '0.25']"
2012-13,Playoffs,71,Andray Blatche,"['BKN', '7', '138', '29', '58', '0.5', '0', '0', '0.0', '14', '17', '0.824', '10', '24', '34', '9', '2', '3', '5', '14', '72', '1.8']"
2012-13,Playoffs,71,Jason Terry,"['BOS', '6', '189', '24', '54', '0.444', '15', '34', '0.441', '9', '11', '0.818', '0', '13', '13', '12', '4', '2', '5', '9', '72', '2.4']"
2012-13,Playoffs,71,Wilson Chandler,"['DEN', '6', '205', '27', '76', '0.355', '9', '29', '0.31', '9', '12', '0.75', '5', '28', '33', '8', '8', '3', '7', '25', '72', '1.14']"
2012-13,Playoffs,74,Matt Barnes,"['LAC', '6', '162', '24', '44', '0.545', '7', '17', '0.412', '16', '19', '0.842', '7', '23', '30', '3', '4', '2', '5', '23', '71', '0.6']"
2012-13,Playoffs,74,Patrick Beverley,"['HOU', '6', '200', '28', '65', '0.431', '8', '24', '0.333', '7', '7', '1.0', '11', '22', '33', '17', '7', '4', '6', '24', '71', '2.83']"
2012-13,Playoffs,76,Draymond Green,"['GSW', '12', '223', '24', '56', '0.429', '9', '23', '0.391', '13', '17', '0.765', '14', '37', '51', '19', '6', '10', '12', '35', '70', '1.58']"
2012-13,Playoffs,77,Kenyon Martin,"['NYK', '12', '253', '29', '50', '0.58', '0', '0', '0.0', '11', '20', '0.55', '16', '38', '54', '11', '9', '17', '8', '42', '69', '1.38']"
2012-13,Playoffs,77,Luol Deng,"['CHI', '5', '224', '32', '84', '0.381', '1', '18', '0.056', '4', '10', '0.4', '5', '33', '38', '19', '5', '3', '12', '12', '69', '1.58']"
2012-13,Playoffs,79,Devin Harris,"['ATL', '6', '225', '23', '63', '0.365', '5', '25', '0.2', '17', '25', '0.68', '2', '15', '17', '22', '10', '1', '12', '18', '68', '1.83']"
2012-13,Playoffs,79,Dwight Howard,"['LAL', '4', '126', '26', '42', '0.619', '0', '0', '0.0', '16', '36', '0.444', '10', '33', '43', '4', '2', '8', '16', '17', '68', '0.25']"
2012-13,Playoffs,79,Tyson Chandler,"['NYK', '12', '350', '28', '52', '0.538', '0', '0', '0.0', '12', '16', '0.75', '40', '48', '88', '4', '8', '14', '11', '48', '68', '0.36']"
2012-13,Playoffs,82,Boris Diaw,"['SAS', '16', '273', '24', '54', '0.444', '5', '13', '0.385', '12', '14', '0.857', '8', '32', '40', '28', '4', '3', '13', '28', '65', '2.15']"
2012-13,Playoffs,82,Corey Brewer,"['DEN', '6', '146', '21', '68', '0.309', '9', '36', '0.25', '14', '21', '0.667', '3', '8', '11', '7', '6', '1', '7', '19', '65', '1.0']"
2012-13,Playoffs,82,Jamal Crawford,"['LAC', '6', '161', '24', '62', '0.387', '6', '22', '0.273', '11', '11', '1.0', '2', '10', '12', '10', '3', '1', '4', '9', '65', '2.5']"
2012-13,Playoffs,85,Francisco Garcia,"['HOU', '6', '164', '22', '50', '0.44', '17', '37', '0.459', '3', '5', '0.6', '3', '17', '20', '9', '4', '5', '4', '21', '64', '2.25']"
2012-13,Playoffs,86,Thabo Sefolosha,"['OKC', '11', '300', '21', '61', '0.344', '12', '38', '0.316', '9', '11', '0.818', '13', '36', '49', '23', '12', '5', '8', '26', '63', '2.88']"
